    µm         	nm
0.000000e+000	1.011381e+001
2.441406e-004	1.011381e+001
4.882812e-004	1.019429e+001
7.324219e-004	1.016747e+001
9.765625e-004	1.019429e+001
1.220703e-003	1.014064e+001
1.464844e-003	1.016747e+001
1.708984e-003	1.014064e+001
1.953125e-003	1.016747e+001
2.197266e-003	1.014064e+001
2.441406e-003	1.016747e+001
2.685547e-003	1.011381e+001
2.929688e-003	1.014064e+001
3.173829e-003	1.014064e+001
3.417969e-003	1.022112e+001
3.662110e-003	1.014064e+001
3.906250e-003	1.016747e+001
4.150391e-003	1.016747e+001
4.394532e-003	1.014064e+001
4.638673e-003	1.008698e+001
4.882813e-003	1.011381e+001
5.126954e-003	1.014064e+001
5.371095e-003	1.016747e+001
5.615235e-003	1.019429e+001
5.859376e-003	1.014064e+001
6.103517e-003	1.011381e+001
6.347658e-003	1.022112e+001
6.591798e-003	1.014064e+001
6.835939e-003	1.006016e+001
7.080080e-003	1.019429e+001
7.324220e-003	1.014064e+001
7.568361e-003	1.006016e+001
7.812502e-003	1.016747e+001
8.056642e-003	1.008698e+001
8.300783e-003	1.011381e+001
8.544924e-003	1.019429e+001
8.789065e-003	1.014064e+001
9.033205e-003	1.011381e+001
9.277346e-003	1.008698e+001
9.521487e-003	1.011381e+001
9.765627e-003	1.008698e+001
1.000977e-002	1.014064e+001
1.025391e-002	1.014064e+001
1.049805e-002	1.011381e+001
1.074219e-002	1.019429e+001
1.098633e-002	1.022112e+001
1.123047e-002	1.011381e+001
1.147461e-002	1.011381e+001
1.171875e-002	1.022112e+001
1.196289e-002	1.019429e+001
1.220703e-002	1.019429e+001
1.245118e-002	1.011381e+001
1.269532e-002	1.019429e+001
1.293946e-002	1.011381e+001
1.318360e-002	1.011381e+001
1.342774e-002	1.019429e+001
1.367188e-002	1.008698e+001
1.391602e-002	1.014064e+001
1.416016e-002	1.008698e+001
1.440430e-002	1.006016e+001
1.464844e-002	1.014064e+001
1.489258e-002	1.008698e+001
1.513672e-002	1.006016e+001
1.538086e-002	1.011381e+001
1.562500e-002	1.011381e+001
1.586914e-002	1.016747e+001
1.611328e-002	1.011381e+001
1.635743e-002	1.019429e+001
1.660157e-002	1.014064e+001
1.684571e-002	1.011381e+001
1.708985e-002	1.011381e+001
1.733399e-002	1.024795e+001
1.757813e-002	1.019429e+001
1.782227e-002	1.019429e+001
1.806641e-002	1.016747e+001
1.831055e-002	1.014064e+001
1.855469e-002	1.011381e+001
1.879883e-002	1.006016e+001
1.904297e-002	1.011381e+001
1.928711e-002	1.014064e+001
1.953125e-002	1.006016e+001
1.977540e-002	1.016747e+001
2.001954e-002	1.008698e+001
2.026368e-002	1.008698e+001
2.050782e-002	1.011381e+001
2.075196e-002	1.011381e+001
2.099610e-002	1.003333e+001
2.124024e-002	1.006016e+001
2.148438e-002	1.011381e+001
2.172852e-002	1.008698e+001
2.197266e-002	1.016747e+001
2.221680e-002	1.014064e+001
2.246094e-002	1.006016e+001
2.270508e-002	1.008698e+001
2.294922e-002	1.008698e+001
2.319337e-002	1.011381e+001
2.343751e-002	1.014064e+001
2.368165e-002	1.008698e+001
2.392579e-002	1.006016e+001
2.416993e-002	1.006016e+001
2.441407e-002	1.019429e+001
2.465821e-002	1.008698e+001
2.490235e-002	1.014064e+001
2.514649e-002	1.003333e+001
2.539063e-002	1.014064e+001
2.563477e-002	1.003333e+001
2.587891e-002	1.011381e+001
2.612305e-002	1.014064e+001
2.636719e-002	1.011381e+001
2.661134e-002	1.016747e+001
2.685548e-002	1.011381e+001
2.709962e-002	1.011381e+001
2.734376e-002	1.011381e+001
2.758790e-002	1.008698e+001
2.783204e-002	1.014064e+001
2.807618e-002	1.008698e+001
2.832032e-002	1.008698e+001
2.856446e-002	1.011381e+001
2.880860e-002	1.016747e+001
2.905274e-002	1.014064e+001
2.929688e-002	1.011381e+001
2.954102e-002	1.008698e+001
2.978516e-002	1.011381e+001
3.002931e-002	1.006016e+001
3.027344e-002	1.006016e+001
3.051758e-002	1.011381e+001
3.076172e-002	1.011381e+001
3.100586e-002	1.011381e+001
3.125000e-002	1.011381e+001
3.149414e-002	1.014064e+001
3.173828e-002	1.011381e+001
3.198242e-002	1.016747e+001
3.222656e-002	1.014064e+001
3.247069e-002	1.011381e+001
3.271483e-002	1.016747e+001
3.295897e-002	1.008698e+001
3.320311e-002	1.016747e+001
3.344725e-002	1.008698e+001
3.369139e-002	1.008698e+001
3.393553e-002	1.006016e+001
3.417967e-002	1.014064e+001
3.442381e-002	1.006016e+001
3.466794e-002	1.008698e+001
3.491208e-002	1.003333e+001
3.515622e-002	1.008698e+001
3.540036e-002	1.011381e+001
3.564450e-002	1.016747e+001
3.588864e-002	1.011381e+001
3.613278e-002	1.011381e+001
3.637692e-002	1.003333e+001
3.662106e-002	1.011381e+001
3.686520e-002	1.011381e+001
3.710933e-002	1.008698e+001
3.735347e-002	1.019429e+001
3.759761e-002	1.011381e+001
3.784175e-002	1.008698e+001
3.808589e-002	1.003333e+001
3.833003e-002	1.008698e+001
3.857417e-002	1.014064e+001
3.881831e-002	1.011381e+001
3.906245e-002	1.011381e+001
3.930658e-002	1.011381e+001
3.955072e-002	1.006016e+001
3.979486e-002	1.011381e+001
4.003900e-002	1.008698e+001
4.028314e-002	1.011381e+001
4.052728e-002	1.014064e+001
4.077142e-002	1.014064e+001
4.101556e-002	1.011381e+001
4.125970e-002	1.008698e+001
4.150384e-002	1.006016e+001
4.174797e-002	1.008698e+001
4.199211e-002	1.011381e+001
4.223625e-002	1.011381e+001
4.248039e-002	1.014064e+001
4.272453e-002	1.006016e+001
4.296867e-002	1.008698e+001
4.321281e-002	1.011381e+001
4.345695e-002	1.014064e+001
4.370109e-002	1.011381e+001
4.394522e-002	1.016747e+001
4.418936e-002	1.014064e+001
4.443350e-002	1.008698e+001
4.467764e-002	1.008698e+001
4.492178e-002	1.014064e+001
4.516592e-002	1.014064e+001
4.541006e-002	1.014064e+001
4.565420e-002	1.011381e+001
4.589834e-002	1.016747e+001
4.614247e-002	1.011381e+001
4.638661e-002	1.006016e+001
4.663075e-002	1.014064e+001
4.687489e-002	1.006016e+001
4.711903e-002	1.011381e+001
4.736317e-002	1.014064e+001
4.760731e-002	1.008698e+001
4.785145e-002	1.008698e+001
4.809559e-002	1.006016e+001
4.833973e-002	1.011381e+001
4.858386e-002	1.008698e+001
4.882800e-002	1.011381e+001
4.907214e-002	1.008698e+001
4.931628e-002	1.006016e+001
4.956042e-002	1.003333e+001
4.980456e-002	1.006016e+001
5.004870e-002	1.008698e+001
5.029284e-002	1.006016e+001
5.053698e-002	1.011381e+001
5.078111e-002	1.008698e+001
5.102525e-002	1.011381e+001
5.126939e-002	1.006016e+001
5.151353e-002	1.006016e+001
5.175767e-002	1.008698e+001
5.200181e-002	1.008698e+001
5.224595e-002	1.006016e+001
5.249009e-002	1.008698e+001
5.273423e-002	1.008698e+001
5.297836e-002	1.011381e+001
5.322250e-002	1.008698e+001
5.346664e-002	1.011381e+001
5.371078e-002	1.006016e+001
5.395492e-002	1.008698e+001
5.419906e-002	1.014064e+001
5.444320e-002	1.014064e+001
5.468734e-002	1.011381e+001
5.493148e-002	1.008698e+001
5.517562e-002	1.008698e+001
5.541975e-002	1.014064e+001
5.566389e-002	1.014064e+001
5.590803e-002	1.014064e+001
5.615217e-002	1.011381e+001
5.639631e-002	1.011381e+001
5.664045e-002	1.008698e+001
5.688459e-002	1.014064e+001
5.712873e-002	1.006016e+001
5.737287e-002	1.019429e+001
5.761700e-002	1.011381e+001
5.786114e-002	1.014064e+001
5.810528e-002	1.014064e+001
5.834942e-002	1.011381e+001
5.859356e-002	1.014064e+001
5.883770e-002	1.014064e+001
5.908184e-002	1.006016e+001
5.932598e-002	1.016747e+001
5.957012e-002	1.011381e+001
5.981425e-002	1.011381e+001
6.005840e-002	1.014064e+001
6.030254e-002	1.014064e+001
6.054668e-002	1.011381e+001
6.079082e-002	1.011381e+001
6.103497e-002	1.016747e+001
6.127911e-002	1.008698e+001
6.152325e-002	1.011381e+001
6.176739e-002	1.019429e+001
6.201154e-002	1.014064e+001
6.225568e-002	1.016747e+001
6.249982e-002	1.016747e+001
6.274396e-002	1.008698e+001
6.298811e-002	1.006016e+001
6.323225e-002	1.008698e+001
6.347639e-002	1.011381e+001
6.372053e-002	1.011381e+001
6.396468e-002	1.022112e+001
6.420882e-002	1.008698e+001
6.445296e-002	1.016747e+001
6.469710e-002	1.008698e+001
6.494125e-002	1.014064e+001
6.518539e-002	1.011381e+001
6.542953e-002	1.006016e+001
6.567367e-002	1.008698e+001
6.591782e-002	1.008698e+001
6.616196e-002	1.008698e+001
6.640610e-002	1.008698e+001
6.665024e-002	1.011381e+001
6.689439e-002	1.014064e+001
6.713853e-002	1.008698e+001
6.738267e-002	1.016747e+001
6.762681e-002	1.019429e+001
6.787096e-002	1.008698e+001
6.811510e-002	1.016747e+001
6.835924e-002	1.011381e+001
6.860338e-002	1.014064e+001
6.884753e-002	1.014064e+001
6.909167e-002	1.016747e+001
6.933581e-002	1.016747e+001
6.957995e-002	1.014064e+001
6.982410e-002	1.006016e+001
7.006824e-002	1.011381e+001
7.031238e-002	1.014064e+001
7.055652e-002	1.008698e+001
7.080067e-002	1.006016e+001
7.104481e-002	1.014064e+001
7.128895e-002	1.008698e+001
7.153309e-002	1.003333e+001
7.177724e-002	1.011381e+001
7.202138e-002	1.016747e+001
7.226552e-002	1.008698e+001
7.250966e-002	1.008698e+001
7.275381e-002	1.016747e+001
7.299795e-002	1.006016e+001
7.324209e-002	1.006016e+001
7.348623e-002	1.006016e+001
7.373038e-002	1.008698e+001
7.397452e-002	1.008698e+001
7.421866e-002	1.008698e+001
7.446280e-002	1.016747e+001
7.470695e-002	1.008698e+001
7.495109e-002	1.011381e+001
7.519523e-002	1.006016e+001
7.543937e-002	1.008698e+001
7.568352e-002	1.011381e+001
7.592766e-002	1.016747e+001
7.617180e-002	1.003333e+001
7.641594e-002	1.011381e+001
7.666009e-002	1.016747e+001
7.690423e-002	1.006016e+001
7.714837e-002	1.006016e+001
7.739251e-002	1.019429e+001
7.763666e-002	1.014064e+001
7.788080e-002	1.008698e+001
7.812494e-002	1.019429e+001
7.836908e-002	1.014064e+001
7.861323e-002	1.008698e+001
7.885737e-002	1.016747e+001
7.910151e-002	1.006016e+001
7.934565e-002	1.011381e+001
7.958980e-002	1.019429e+001
7.983394e-002	1.006016e+001
8.007808e-002	1.011381e+001
8.032222e-002	1.016747e+001
8.056637e-002	1.011381e+001
8.081051e-002	1.008698e+001
8.105465e-002	1.019429e+001
8.129879e-002	1.014064e+001
8.154294e-002	1.008698e+001
8.178708e-002	1.006016e+001
8.203122e-002	1.006016e+001
8.227536e-002	1.008698e+001
8.251951e-002	1.006016e+001
8.276365e-002	1.008698e+001
8.300779e-002	1.003333e+001
8.325193e-002	1.003333e+001
8.349608e-002	1.008698e+001
8.374022e-002	1.006016e+001
8.398436e-002	1.003333e+001
8.422850e-002	1.008698e+001
8.447265e-002	1.008698e+001
8.471679e-002	1.011381e+001
8.496093e-002	1.008698e+001
8.520507e-002	1.014064e+001
8.544922e-002	1.011381e+001
8.569336e-002	1.003333e+001
8.593750e-002	1.006016e+001
8.618164e-002	1.006016e+001
8.642579e-002	1.008698e+001
8.666993e-002	1.011381e+001
8.691407e-002	1.000650e+001
8.715821e-002	1.008698e+001
8.740236e-002	1.011381e+001
8.764650e-002	1.008698e+001
8.789064e-002	1.008698e+001
8.813478e-002	1.014064e+001
8.837893e-002	1.016747e+001
8.862307e-002	1.008698e+001
8.886721e-002	1.014064e+001
8.911135e-002	1.014064e+001
8.935550e-002	1.008698e+001
8.959964e-002	1.006016e+001
8.984378e-002	1.006016e+001
9.008792e-002	1.006016e+001
9.033207e-002	1.014064e+001
9.057621e-002	1.003333e+001
9.082035e-002	1.011381e+001
9.106449e-002	1.008698e+001
9.130864e-002	1.006016e+001
9.155278e-002	1.011381e+001
9.179692e-002	1.008698e+001
9.204106e-002	1.008698e+001
9.228521e-002	1.006016e+001
9.252935e-002	1.006016e+001
9.277349e-002	1.008698e+001
9.301763e-002	1.011381e+001
9.326178e-002	1.011381e+001
9.350592e-002	1.006016e+001
9.375006e-002	1.006016e+001
9.399420e-002	1.011381e+001
9.423835e-002	1.008698e+001
9.448249e-002	1.006016e+001
9.472663e-002	1.006016e+001
9.497077e-002	1.011381e+001
9.521492e-002	1.011381e+001
9.545906e-002	1.011381e+001
9.570320e-002	1.003333e+001
9.594734e-002	1.014064e+001
9.619148e-002	1.011381e+001
9.643563e-002	1.016747e+001
9.667977e-002	1.003333e+001
9.692391e-002	1.008698e+001
9.716805e-002	1.008698e+001
9.741220e-002	1.011381e+001
9.765634e-002	1.011381e+001
9.790048e-002	1.003333e+001
9.814462e-002	1.006016e+001
9.838877e-002	1.008698e+001
9.863291e-002	1.000650e+001
9.887705e-002	1.006016e+001
9.912119e-002	1.006016e+001
9.936534e-002	1.006016e+001
9.960948e-002	1.014064e+001
9.985362e-002	1.003333e+001
1.000978e-001	1.011381e+001
1.003419e-001	1.006016e+001
1.005860e-001	1.011381e+001
1.008302e-001	1.011381e+001
1.010743e-001	1.008698e+001
1.013185e-001	1.008698e+001
1.015626e-001	1.006016e+001
1.018068e-001	1.011381e+001
1.020509e-001	1.014064e+001
1.022950e-001	1.006016e+001
1.025392e-001	1.014064e+001
1.027833e-001	1.003333e+001
1.030275e-001	1.014064e+001
1.032716e-001	1.006016e+001
1.035158e-001	1.011381e+001
1.037599e-001	1.008698e+001
1.040040e-001	1.006016e+001
1.042482e-001	1.003333e+001
1.044923e-001	1.008698e+001
1.047365e-001	1.008698e+001
1.049806e-001	1.000650e+001
1.052248e-001	9.979677e+000
1.054689e-001	1.011381e+001
1.057130e-001	1.011381e+001
1.059572e-001	1.003333e+001
1.062013e-001	1.006016e+001
1.064455e-001	1.008698e+001
1.066896e-001	1.006016e+001
1.069338e-001	1.006016e+001
1.071779e-001	1.000650e+001
1.074220e-001	1.011381e+001
1.076662e-001	1.011381e+001
1.079103e-001	1.006016e+001
1.081545e-001	1.008698e+001
1.083986e-001	1.011381e+001
1.086428e-001	1.011381e+001
1.088869e-001	1.011381e+001
1.091310e-001	1.006016e+001
1.093752e-001	1.006016e+001
1.096193e-001	1.011381e+001
1.098635e-001	1.011381e+001
1.101076e-001	1.016747e+001
1.103517e-001	1.008698e+001
1.105959e-001	1.016747e+001
1.108400e-001	1.008698e+001
1.110842e-001	1.008698e+001
1.113283e-001	1.003333e+001
1.115725e-001	1.003333e+001
1.118166e-001	1.003333e+001
1.120607e-001	1.011381e+001
1.123049e-001	1.008698e+001
1.125490e-001	1.014064e+001
1.127932e-001	1.008698e+001
1.130373e-001	1.008698e+001
1.132815e-001	1.014064e+001
1.135256e-001	1.011381e+001
1.137697e-001	1.008698e+001
1.140139e-001	1.008698e+001
1.142580e-001	1.008698e+001
1.145022e-001	1.008698e+001
1.147463e-001	1.014064e+001
1.149905e-001	1.008698e+001
1.152346e-001	1.014064e+001
1.154787e-001	1.006016e+001
1.157229e-001	1.008698e+001
1.159670e-001	1.006016e+001
1.162112e-001	1.008698e+001
1.164553e-001	1.011381e+001
1.166995e-001	1.003333e+001
1.169436e-001	1.006016e+001
1.171877e-001	1.003333e+001
1.174319e-001	1.006016e+001
1.176760e-001	1.014064e+001
1.179202e-001	1.003333e+001
1.181643e-001	1.000650e+001
1.184085e-001	1.006016e+001
1.186526e-001	1.003333e+001
1.188967e-001	1.008698e+001
1.191409e-001	1.006016e+001
1.193850e-001	1.008698e+001
1.196292e-001	1.008698e+001
1.198733e-001	1.006016e+001
1.201174e-001	1.008698e+001
1.203616e-001	1.006016e+001
1.206057e-001	1.011381e+001
1.208499e-001	1.011381e+001
1.210940e-001	1.000650e+001
1.213382e-001	1.008698e+001
1.215823e-001	1.008698e+001
1.218264e-001	1.006016e+001
1.220706e-001	1.003333e+001
1.223147e-001	1.003333e+001
1.225589e-001	1.006016e+001
1.228030e-001	1.014064e+001
1.230472e-001	1.014064e+001
1.232913e-001	1.008698e+001
1.235354e-001	1.006016e+001
1.237796e-001	1.006016e+001
1.240237e-001	1.006016e+001
