    nm         	nm
0.000000e+000	-1.180356e+000
6.893381e-002	-1.073051e+000
1.378676e-001	-1.153529e+000
2.068014e-001	-1.153529e+000
2.757352e-001	-1.153529e+000
3.446690e-001	-1.180356e+000
4.136028e-001	-1.153529e+000
4.825367e-001	-1.099877e+000
5.514705e-001	-1.046224e+000
6.204043e-001	-1.019398e+000
6.893381e-001	-1.019398e+000
7.582719e-001	-1.126703e+000
8.272057e-001	-1.180356e+000
8.961395e-001	-1.099877e+000
9.650734e-001	-1.126703e+000
1.034007e+000	-1.126703e+000
1.102941e+000	-1.073051e+000
1.171875e+000	-1.153529e+000
1.240809e+000	-1.260835e+000
1.309743e+000	-1.046224e+000
1.378677e+000	-1.126703e+000
1.447610e+000	-1.073051e+000
1.516544e+000	-1.099877e+000
1.585478e+000	-1.099877e+000
1.654412e+000	-1.099877e+000
1.723346e+000	-1.153529e+000
1.792280e+000	-1.234008e+000
1.861214e+000	-1.073051e+000
1.930147e+000	-9.657457e-001
1.999081e+000	-1.126703e+000
2.068015e+000	-1.126703e+000
2.136949e+000	-1.019398e+000
2.205882e+000	-9.657457e-001
2.274816e+000	-1.153529e+000
2.343750e+000	-1.207182e+000
2.412684e+000	-1.046224e+000
2.481617e+000	-9.925719e-001
2.550551e+000	-1.046224e+000
2.619485e+000	-1.126703e+000
2.688419e+000	-1.153529e+000
2.757352e+000	-1.126703e+000
2.826286e+000	-1.260835e+000
2.895220e+000	-1.207182e+000
2.964154e+000	-1.153529e+000
3.033087e+000	-1.180356e+000
3.102021e+000	-1.153529e+000
3.170955e+000	-1.153529e+000
3.239889e+000	-1.126703e+000
3.308822e+000	-1.207182e+000
3.377756e+000	-1.153529e+000
3.446690e+000	-1.099877e+000
3.515624e+000	-1.099877e+000
3.584557e+000	-1.046224e+000
3.653491e+000	-1.073051e+000
3.722425e+000	-1.180356e+000
3.791359e+000	-1.099877e+000
3.860293e+000	-9.657457e-001
3.929226e+000	-1.046224e+000
3.998160e+000	-1.126703e+000
4.067094e+000	-1.073051e+000
4.136028e+000	-1.073051e+000
4.204961e+000	-1.099877e+000
4.273895e+000	-1.099877e+000
4.342829e+000	-1.073051e+000
4.411763e+000	-1.019398e+000
4.480696e+000	-1.180356e+000
4.549630e+000	-1.234008e+000
4.618564e+000	-1.180356e+000
4.687498e+000	-1.153529e+000
4.756431e+000	-1.153529e+000
4.825365e+000	-1.153529e+000
4.894299e+000	-1.099877e+000
4.963232e+000	-1.207182e+000
5.032166e+000	-1.153529e+000
5.101100e+000	-1.046224e+000
5.170034e+000	-1.073051e+000
5.238967e+000	-1.073051e+000
5.307901e+000	-1.046224e+000
5.376835e+000	-1.126703e+000
5.445769e+000	-1.180356e+000
5.514702e+000	-1.046224e+000
5.583636e+000	-9.925719e-001
5.652570e+000	-1.126703e+000
5.721504e+000	-1.207182e+000
5.790437e+000	-1.180356e+000
5.859371e+000	-1.180356e+000
5.928305e+000	-1.126703e+000
5.997239e+000	-1.073051e+000
6.066172e+000	-1.073051e+000
6.135106e+000	-1.234008e+000
6.204040e+000	-1.180356e+000
6.272974e+000	-1.126703e+000
6.341907e+000	-1.099877e+000
6.410841e+000	-1.207182e+000
6.479775e+000	-1.180356e+000
6.548709e+000	-1.180356e+000
6.617642e+000	-1.019398e+000
6.686576e+000	-9.925719e-001
6.755510e+000	-1.180356e+000
6.824444e+000	-1.153529e+000
6.893377e+000	-1.126703e+000
6.962311e+000	-1.019398e+000
7.031245e+000	-1.153529e+000
7.100179e+000	-1.153529e+000
7.169112e+000	-1.099877e+000
7.238046e+000	-1.099877e+000
7.306980e+000	-1.180356e+000
7.375914e+000	-1.180356e+000
7.444847e+000	-1.234008e+000
7.513782e+000	-1.180356e+000
7.582716e+000	-1.126703e+000
7.651650e+000	-1.126703e+000
7.720584e+000	-1.046224e+000
7.789518e+000	-1.099877e+000
7.858453e+000	-1.153529e+000
7.927387e+000	-1.207182e+000
7.996321e+000	-1.180356e+000
8.065255e+000	-1.153529e+000
8.134189e+000	-1.073051e+000
8.203124e+000	-1.126703e+000
8.272058e+000	-1.180356e+000
8.340992e+000	-1.180356e+000
8.409926e+000	-1.099877e+000
8.478860e+000	-1.180356e+000
8.547794e+000	-1.180356e+000
8.616729e+000	-1.153529e+000
8.685663e+000	-1.153529e+000
8.754597e+000	-1.046224e+000
8.823531e+000	-1.019398e+000
8.892465e+000	-1.153529e+000
8.961400e+000	-1.153529e+000
9.030334e+000	-1.153529e+000
9.099268e+000	-1.153529e+000
9.168202e+000	-1.126703e+000
9.237136e+000	-1.099877e+000
9.306071e+000	-1.099877e+000
9.375005e+000	-1.180356e+000
9.443939e+000	-1.153529e+000
9.512873e+000	-1.046224e+000
9.581807e+000	-1.046224e+000
9.650742e+000	-1.153529e+000
9.719676e+000	-1.126703e+000
9.788610e+000	-1.073051e+000
9.857544e+000	-1.153529e+000
9.926478e+000	-1.099877e+000
9.995412e+000	-1.153529e+000
1.006435e+001	-1.207182e+000
1.013328e+001	-1.153529e+000
1.020222e+001	-9.657457e-001
1.027115e+001	-1.046224e+000
1.034008e+001	-9.657457e-001
1.040902e+001	-9.925719e-001
1.047795e+001	-1.126703e+000
1.054689e+001	-1.180356e+000
1.061582e+001	-1.153529e+000
1.068475e+001	-1.099877e+000
1.075369e+001	-1.019398e+000
1.082262e+001	-1.099877e+000
1.089156e+001	-1.073051e+000
1.096049e+001	-1.099877e+000
1.102943e+001	-1.019398e+000
1.109836e+001	-1.046224e+000
1.116729e+001	-1.099877e+000
1.123623e+001	-1.099877e+000
1.130516e+001	-1.180356e+000
1.137410e+001	-1.180356e+000
1.144303e+001	-1.099877e+000
1.151196e+001	-1.099877e+000
1.158090e+001	-9.925719e-001
1.164983e+001	-1.046224e+000
1.171877e+001	-1.207182e+000
1.178770e+001	-1.099877e+000
1.185664e+001	-1.073051e+000
1.192557e+001	-1.019398e+000
1.199450e+001	-1.073051e+000
1.206344e+001	-1.019398e+000
1.213237e+001	-1.073051e+000
1.220131e+001	-1.207182e+000
1.227024e+001	-1.099877e+000
1.233918e+001	-1.180356e+000
1.240811e+001	-1.180356e+000
1.247704e+001	-1.180356e+000
1.254598e+001	-1.126703e+000
1.261491e+001	-1.046224e+000
1.268385e+001	-1.073051e+000
1.275278e+001	-1.046224e+000
1.282171e+001	-1.019398e+000
1.289065e+001	-1.153529e+000
1.295958e+001	-1.180356e+000
1.302852e+001	-1.153529e+000
1.309745e+001	-1.260835e+000
1.316639e+001	-1.207182e+000
1.323532e+001	-1.046224e+000
1.330425e+001	-1.126703e+000
1.337319e+001	-1.046224e+000
1.344212e+001	-1.073051e+000
1.351106e+001	-1.153529e+000
1.357999e+001	-1.153529e+000
1.364892e+001	-1.153529e+000
1.371786e+001	-1.153529e+000
1.378679e+001	-1.153529e+000
1.385573e+001	-1.046224e+000
1.392466e+001	-1.153529e+000
1.399360e+001	-1.180356e+000
1.406253e+001	-1.073051e+000
1.413146e+001	-1.099877e+000
1.420040e+001	-1.126703e+000
1.426933e+001	-1.073051e+000
1.433827e+001	-1.099877e+000
1.440720e+001	-1.046224e+000
1.447613e+001	-1.073051e+000
1.454507e+001	-1.126703e+000
1.461400e+001	-1.073051e+000
1.468294e+001	-1.019398e+000
1.475187e+001	-1.073051e+000
1.482081e+001	-1.046224e+000
1.488974e+001	-1.099877e+000
1.495867e+001	-1.126703e+000
1.502761e+001	-1.153529e+000
1.509654e+001	-1.073051e+000
1.516547e+001	-1.126703e+000
1.523441e+001	-1.207182e+000
1.530334e+001	-1.153529e+000
1.537227e+001	-1.019398e+000
1.544121e+001	-9.925719e-001
1.551014e+001	-1.046224e+000
1.557907e+001	-1.073051e+000
1.564801e+001	-1.099877e+000
1.571694e+001	-1.099877e+000
1.578587e+001	-1.073051e+000
1.585481e+001	-1.073051e+000
1.592374e+001	-1.073051e+000
1.599267e+001	-1.153529e+000
1.606161e+001	-1.099877e+000
1.613054e+001	-1.126703e+000
1.619947e+001	-9.925719e-001
1.626841e+001	-1.046224e+000
1.633734e+001	-1.207182e+000
1.640627e+001	-1.073051e+000
1.647521e+001	-9.657457e-001
1.654414e+001	-1.019398e+000
1.661307e+001	-1.126703e+000
1.668201e+001	-1.234008e+000
1.675094e+001	-1.153529e+000
1.681987e+001	-1.099877e+000
1.688881e+001	-1.180356e+000
1.695774e+001	-1.073051e+000
1.702667e+001	-9.925719e-001
1.709561e+001	-1.153529e+000
1.716454e+001	-1.180356e+000
1.723347e+001	-1.046224e+000
1.730241e+001	-1.126703e+000
1.737134e+001	-1.126703e+000
1.744027e+001	-1.099877e+000
1.750921e+001	-1.126703e+000
1.757814e+001	-1.126703e+000
1.764707e+001	-1.153529e+000
1.771601e+001	-1.153529e+000
1.778494e+001	-1.073051e+000
1.785387e+001	-1.046224e+000
1.792281e+001	-1.073051e+000
1.799174e+001	-1.099877e+000
1.806067e+001	-1.073051e+000
1.812961e+001	-1.126703e+000
1.819854e+001	-1.046224e+000
1.826747e+001	-1.073051e+000
1.833641e+001	-1.207182e+000
1.840534e+001	-1.153529e+000
1.847427e+001	-1.126703e+000
1.854321e+001	-1.099877e+000
1.861214e+001	-1.153529e+000
1.868107e+001	-1.126703e+000
1.875001e+001	-1.046224e+000
1.881894e+001	-1.019398e+000
1.888787e+001	-1.099877e+000
1.895681e+001	-1.180356e+000
1.902574e+001	-1.180356e+000
1.909467e+001	-1.153529e+000
1.916361e+001	-1.099877e+000
1.923254e+001	-1.019398e+000
1.930147e+001	-1.153529e+000
1.937041e+001	-1.180356e+000
1.943934e+001	-1.207182e+000
1.950827e+001	-1.073051e+000
1.957721e+001	-1.073051e+000
1.964614e+001	-1.153529e+000
1.971507e+001	-1.073051e+000
1.978401e+001	-1.073051e+000
1.985294e+001	-1.126703e+000
1.992187e+001	-1.180356e+000
1.999081e+001	-1.099877e+000
2.005974e+001	-1.180356e+000
2.012867e+001	-1.073051e+000
2.019761e+001	-1.073051e+000
2.026654e+001	-1.073051e+000
2.033547e+001	-1.153529e+000
2.040441e+001	-1.207182e+000
2.047334e+001	-1.073051e+000
2.054227e+001	-1.073051e+000
2.061121e+001	-1.153529e+000
2.068014e+001	-1.073051e+000
2.074907e+001	-1.073051e+000
2.081801e+001	-9.925719e-001
2.088694e+001	-1.046224e+000
2.095587e+001	-9.925719e-001
2.102481e+001	-1.073051e+000
2.109374e+001	-1.126703e+000
2.116267e+001	-1.073051e+000
2.123160e+001	-1.153529e+000
2.130054e+001	-1.180356e+000
2.136947e+001	-1.099877e+000
2.143840e+001	-1.099877e+000
2.150734e+001	-1.207182e+000
2.157627e+001	-1.153529e+000
2.164520e+001	-1.099877e+000
2.171414e+001	-1.153529e+000
2.178307e+001	-1.153529e+000
2.185200e+001	-1.180356e+000
2.192094e+001	-1.046224e+000
2.198987e+001	-1.019398e+000
2.205880e+001	-1.073051e+000
2.212774e+001	-1.180356e+000
2.219667e+001	-1.287661e+000
2.226560e+001	-1.153529e+000
2.233454e+001	-1.019398e+000
2.240347e+001	-1.073051e+000
2.247240e+001	-1.126703e+000
2.254134e+001	-1.207182e+000
2.261027e+001	-1.099877e+000
2.267920e+001	-1.099877e+000
2.274814e+001	-1.073051e+000
2.281707e+001	-1.126703e+000
2.288600e+001	-1.153529e+000
2.295494e+001	-1.019398e+000
2.302387e+001	-1.073051e+000
2.309280e+001	-1.046224e+000
2.316174e+001	-1.153529e+000
2.323067e+001	-1.073051e+000
2.329960e+001	-1.073051e+000
2.336854e+001	-1.073051e+000
2.343747e+001	-1.126703e+000
2.350640e+001	-1.234008e+000
2.357534e+001	-1.153529e+000
2.364427e+001	-1.073051e+000
2.371320e+001	-1.073051e+000
2.378214e+001	-1.019398e+000
2.385107e+001	-1.126703e+000
2.392000e+001	-1.153529e+000
2.398894e+001	-1.153529e+000
2.405787e+001	-9.389194e-001
2.412680e+001	-9.657457e-001
2.419574e+001	-1.126703e+000
2.426467e+001	-1.073051e+000
2.433360e+001	-1.126703e+000
2.440254e+001	-1.153529e+000
2.447147e+001	-1.099877e+000
2.454040e+001	-1.126703e+000
2.460934e+001	-1.153529e+000
2.467827e+001	-1.153529e+000
2.474720e+001	-1.260835e+000
2.481614e+001	-1.099877e+000
2.488507e+001	-1.046224e+000
2.495400e+001	-1.099877e+000
2.502294e+001	-9.925719e-001
2.509187e+001	-1.019398e+000
2.516080e+001	-1.046224e+000
2.522974e+001	-1.180356e+000
2.529867e+001	-1.153529e+000
2.536760e+001	-1.153529e+000
2.543654e+001	-1.153529e+000
2.550547e+001	-1.126703e+000
2.557440e+001	-1.126703e+000
