    nm         	nm
0.000000e+000	-2.516595e+000
1.148897e-001	-2.516595e+000
2.297794e-001	-2.487998e+000
3.446691e-001	-2.487998e+000
4.595588e-001	-2.459400e+000
5.744485e-001	-2.516595e+000
6.893383e-001	-2.487998e+000
8.042280e-001	-2.487998e+000
9.191177e-001	-2.487998e+000
1.034007e+000	-2.516595e+000
1.148897e+000	-2.516595e+000
1.263787e+000	-2.487998e+000
1.378676e+000	-2.516595e+000
1.493566e+000	-2.573791e+000
1.608456e+000	-2.516595e+000
1.723345e+000	-2.430802e+000
1.838235e+000	-2.516595e+000
1.953125e+000	-2.487998e+000
2.068014e+000	-2.487998e+000
2.182904e+000	-2.545193e+000
2.297794e+000	-2.545193e+000
2.412683e+000	-2.516595e+000
2.527573e+000	-2.516595e+000
2.642462e+000	-2.516595e+000
2.757352e+000	-2.459400e+000
2.872242e+000	-2.487998e+000
2.987131e+000	-2.459400e+000
3.102021e+000	-2.459400e+000
3.216911e+000	-2.487998e+000
3.331800e+000	-2.430802e+000
3.446690e+000	-2.459400e+000
3.561580e+000	-2.487998e+000
3.676469e+000	-2.487998e+000
3.791359e+000	-2.516595e+000
3.906249e+000	-2.516595e+000
4.021139e+000	-2.402205e+000
4.136029e+000	-2.487998e+000
4.250919e+000	-2.545193e+000
4.365809e+000	-2.573791e+000
4.480698e+000	-2.459400e+000
4.595588e+000	-2.516595e+000
4.710478e+000	-2.516595e+000
4.825368e+000	-2.459400e+000
4.940258e+000	-2.516595e+000
5.055148e+000	-2.487998e+000
5.170038e+000	-2.459400e+000
5.284928e+000	-2.487998e+000
5.399817e+000	-2.459400e+000
5.514707e+000	-2.545193e+000
5.629597e+000	-2.487998e+000
5.744487e+000	-2.516595e+000
5.859377e+000	-2.487998e+000
5.974267e+000	-2.545193e+000
6.089157e+000	-2.545193e+000
6.204047e+000	-2.487998e+000
6.318936e+000	-2.545193e+000
6.433826e+000	-2.545193e+000
6.548716e+000	-2.516595e+000
6.663606e+000	-2.516595e+000
6.778496e+000	-2.545193e+000
6.893386e+000	-2.516595e+000
7.008276e+000	-2.487998e+000
7.123166e+000	-2.459400e+000
7.238055e+000	-2.516595e+000
7.352945e+000	-2.516595e+000
7.467835e+000	-2.516595e+000
7.582725e+000	-2.487998e+000
7.697614e+000	-2.545193e+000
7.812504e+000	-2.516595e+000
7.927393e+000	-2.516595e+000
8.042282e+000	-2.487998e+000
8.157172e+000	-2.516595e+000
8.272061e+000	-2.487998e+000
8.386951e+000	-2.545193e+000
8.501840e+000	-2.545193e+000
8.616730e+000	-2.516595e+000
8.731619e+000	-2.545193e+000
8.846508e+000	-2.516595e+000
8.961398e+000	-2.516595e+000
9.076287e+000	-2.516595e+000
9.191177e+000	-2.545193e+000
9.306066e+000	-2.545193e+000
9.420956e+000	-2.516595e+000
9.535845e+000	-2.487998e+000
9.650734e+000	-2.487998e+000
9.765624e+000	-2.459400e+000
9.880513e+000	-2.430802e+000
9.995403e+000	-2.459400e+000
1.011029e+001	-2.459400e+000
1.022518e+001	-2.487998e+000
1.034007e+001	-2.516595e+000
1.045496e+001	-2.545193e+000
1.056985e+001	-2.545193e+000
1.068474e+001	-2.487998e+000
1.079963e+001	-2.487998e+000
1.091452e+001	-2.459400e+000
1.102941e+001	-2.459400e+000
1.114430e+001	-2.545193e+000
1.125919e+001	-2.487998e+000
1.137408e+001	-2.516595e+000
1.148897e+001	-2.516595e+000
1.160385e+001	-2.487998e+000
1.171874e+001	-2.459400e+000
1.183363e+001	-2.516595e+000
1.194852e+001	-2.516595e+000
1.206341e+001	-2.487998e+000
1.217830e+001	-2.430802e+000
1.229319e+001	-2.545193e+000
1.240808e+001	-2.516595e+000
1.252297e+001	-2.487998e+000
1.263786e+001	-2.487998e+000
1.275275e+001	-2.516595e+000
1.286764e+001	-2.487998e+000
1.298253e+001	-2.545193e+000
1.309742e+001	-2.516595e+000
1.321231e+001	-2.516595e+000
1.332720e+001	-2.545193e+000
1.344209e+001	-2.516595e+000
1.355698e+001	-2.545193e+000
1.367186e+001	-2.516595e+000
1.378675e+001	-2.430802e+000
1.390164e+001	-2.459400e+000
1.401653e+001	-2.459400e+000
1.413142e+001	-2.487998e+000
1.424631e+001	-2.516595e+000
1.436120e+001	-2.459400e+000
1.447609e+001	-2.516595e+000
1.459098e+001	-2.545193e+000
1.470587e+001	-2.487998e+000
1.482076e+001	-2.487998e+000
1.493565e+001	-2.573791e+000
1.505054e+001	-2.516595e+000
1.516543e+001	-2.545193e+000
1.528032e+001	-2.545193e+000
1.539521e+001	-2.430802e+000
1.551010e+001	-2.487998e+000
1.562499e+001	-2.487998e+000
1.573988e+001	-2.487998e+000
1.585476e+001	-2.516595e+000
1.596965e+001	-2.430802e+000
1.608454e+001	-2.430802e+000
1.619943e+001	-2.487998e+000
1.631432e+001	-2.573791e+000
1.642921e+001	-2.545193e+000
1.654410e+001	-2.545193e+000
1.665899e+001	-2.487998e+000
1.677388e+001	-2.545193e+000
1.688877e+001	-2.573791e+000
1.700366e+001	-2.573791e+000
1.711855e+001	-2.573791e+000
1.723344e+001	-2.573791e+000
1.734833e+001	-2.573791e+000
1.746322e+001	-2.545193e+000
1.757811e+001	-2.516595e+000
1.769300e+001	-2.545193e+000
1.780788e+001	-2.516595e+000
1.792277e+001	-2.487998e+000
1.803766e+001	-2.602389e+000
1.815255e+001	-2.545193e+000
1.826744e+001	-2.545193e+000
1.838233e+001	-2.516595e+000
1.849722e+001	-2.487998e+000
1.861211e+001	-2.459400e+000
1.872700e+001	-2.545193e+000
1.884189e+001	-2.487998e+000
1.895678e+001	-2.516595e+000
1.907167e+001	-2.487998e+000
1.918656e+001	-2.487998e+000
1.930145e+001	-2.545193e+000
1.941634e+001	-2.545193e+000
1.953123e+001	-2.573791e+000
1.964612e+001	-2.487998e+000
1.976101e+001	-2.545193e+000
1.987589e+001	-2.487998e+000
1.999078e+001	-2.545193e+000
2.010567e+001	-2.487998e+000
2.022056e+001	-2.516595e+000
2.033545e+001	-2.516595e+000
2.045034e+001	-2.459400e+000
2.056523e+001	-2.516595e+000
2.068012e+001	-2.487998e+000
2.079501e+001	-2.430802e+000
2.090990e+001	-2.516595e+000
2.102479e+001	-2.516595e+000
2.113968e+001	-2.545193e+000
2.125457e+001	-2.516595e+000
2.136946e+001	-2.516595e+000
2.148435e+001	-2.487998e+000
2.159924e+001	-2.459400e+000
2.171413e+001	-2.459400e+000
2.182902e+001	-2.545193e+000
2.194390e+001	-2.545193e+000
2.205879e+001	-2.545193e+000
2.217368e+001	-2.516595e+000
2.228857e+001	-2.487998e+000
2.240346e+001	-2.487998e+000
2.251835e+001	-2.487998e+000
2.263324e+001	-2.487998e+000
2.274813e+001	-2.487998e+000
2.286302e+001	-2.487998e+000
2.297791e+001	-2.545193e+000
2.309280e+001	-2.487998e+000
2.320769e+001	-2.516595e+000
2.332258e+001	-2.573791e+000
2.343747e+001	-2.545193e+000
2.355236e+001	-2.430802e+000
2.366725e+001	-2.487998e+000
2.378214e+001	-2.487998e+000
2.389702e+001	-2.459400e+000
2.401191e+001	-2.459400e+000
2.412680e+001	-2.487998e+000
2.424169e+001	-2.516595e+000
2.435658e+001	-2.516595e+000
2.447147e+001	-2.516595e+000
2.458636e+001	-2.487998e+000
2.470125e+001	-2.402205e+000
2.481614e+001	-2.459400e+000
2.493103e+001	-2.430802e+000
2.504592e+001	-2.487998e+000
2.516081e+001	-2.459400e+000
2.527570e+001	-2.545193e+000
2.539059e+001	-2.545193e+000
2.550548e+001	-2.573791e+000
2.562037e+001	-2.516595e+000
2.573526e+001	-2.516595e+000
2.585015e+001	-2.516595e+000
2.596503e+001	-2.487998e+000
2.607992e+001	-2.459400e+000
2.619481e+001	-2.459400e+000
2.630970e+001	-2.516595e+000
2.642459e+001	-2.516595e+000
2.653948e+001	-2.487998e+000
2.665437e+001	-2.487998e+000
2.676926e+001	-2.516595e+000
2.688415e+001	-2.545193e+000
2.699904e+001	-2.545193e+000
2.711393e+001	-2.487998e+000
2.722882e+001	-2.516595e+000
2.734371e+001	-2.573791e+000
2.745860e+001	-2.516595e+000
2.757349e+001	-2.545193e+000
2.768838e+001	-2.573791e+000
2.780327e+001	-2.487998e+000
2.791815e+001	-2.430802e+000
2.803304e+001	-2.545193e+000
2.814793e+001	-2.545193e+000
2.826282e+001	-2.573791e+000
2.837771e+001	-2.545193e+000
2.849260e+001	-2.516595e+000
2.860749e+001	-2.545193e+000
2.872238e+001	-2.573791e+000
2.883727e+001	-2.516595e+000
2.895216e+001	-2.516595e+000
2.906705e+001	-2.602389e+000
2.918194e+001	-2.545193e+000
2.929683e+001	-2.487998e+000
2.941172e+001	-2.573791e+000
2.952661e+001	-2.545193e+000
2.964150e+001	-2.516595e+000
2.975639e+001	-2.516595e+000
2.987128e+001	-2.487998e+000
2.998617e+001	-2.516595e+000
3.010106e+001	-2.516595e+000
3.021595e+001	-2.545193e+000
3.033084e+001	-2.545193e+000
3.044573e+001	-2.516595e+000
3.056062e+001	-2.516595e+000
3.067552e+001	-2.487998e+000
3.079041e+001	-2.487998e+000
3.090530e+001	-2.573791e+000
3.102019e+001	-2.487998e+000
3.113508e+001	-2.487998e+000
3.124997e+001	-2.516595e+000
3.136486e+001	-2.545193e+000
3.147975e+001	-2.545193e+000
3.159465e+001	-2.459400e+000
3.170954e+001	-2.516595e+000
3.182443e+001	-2.459400e+000
3.193932e+001	-2.487998e+000
3.205421e+001	-2.459400e+000
3.216910e+001	-2.487998e+000
3.228399e+001	-2.487998e+000
3.239888e+001	-2.545193e+000
3.251377e+001	-2.545193e+000
3.262867e+001	-2.430802e+000
3.274356e+001	-2.545193e+000
3.285845e+001	-2.516595e+000
3.297334e+001	-2.459400e+000
3.308823e+001	-2.516595e+000
3.320312e+001	-2.487998e+000
3.331801e+001	-2.487998e+000
3.343290e+001	-2.459400e+000
3.354780e+001	-2.459400e+000
3.366269e+001	-2.487998e+000
3.377758e+001	-2.545193e+000
3.389247e+001	-2.487998e+000
3.400736e+001	-2.573791e+000
3.412225e+001	-2.516595e+000
