    µm         	nm
0.000000e+000	2.868876e+000
2.224635e-004	2.868876e+000
4.449269e-004	2.928644e+000
6.673904e-004	2.928644e+000
8.898538e-004	2.898760e+000
1.112317e-003	2.928644e+000
1.334781e-003	2.898760e+000
1.557244e-003	2.928644e+000
1.779708e-003	2.898760e+000
2.002171e-003	2.898760e+000
2.224634e-003	2.898760e+000
2.447098e-003	2.928644e+000
2.669561e-003	2.868876e+000
2.892025e-003	2.868876e+000
3.114488e-003	2.928644e+000
3.336951e-003	2.898760e+000
3.559415e-003	2.838992e+000
3.781878e-003	2.868876e+000
4.004342e-003	2.898760e+000
4.226805e-003	2.868876e+000
4.449269e-003	2.898760e+000
4.671732e-003	2.928644e+000
4.894195e-003	2.868876e+000
5.116659e-003	2.868876e+000
5.339122e-003	2.898760e+000
5.561585e-003	2.898760e+000
5.784049e-003	2.928644e+000
6.006512e-003	2.898760e+000
6.228976e-003	2.898760e+000
6.451439e-003	2.928644e+000
6.673902e-003	2.928644e+000
6.896366e-003	2.868876e+000
7.118829e-003	2.898760e+000
7.341292e-003	2.928644e+000
7.563756e-003	2.958528e+000
7.786220e-003	2.898760e+000
8.008683e-003	2.868876e+000
8.231147e-003	2.838992e+000
8.453611e-003	2.868876e+000
8.676075e-003	2.898760e+000
8.898539e-003	2.928644e+000
9.121003e-003	2.868876e+000
9.343466e-003	2.928644e+000
9.565930e-003	2.928644e+000
9.788394e-003	2.928644e+000
1.001086e-002	2.868876e+000
1.023332e-002	2.928644e+000
1.045579e-002	2.838992e+000
1.067825e-002	2.868876e+000
1.090071e-002	2.898760e+000
1.112318e-002	2.898760e+000
1.134564e-002	2.928644e+000
1.156810e-002	2.868876e+000
1.179057e-002	2.928644e+000
1.201303e-002	2.928644e+000
1.223550e-002	2.868876e+000
1.245796e-002	2.809108e+000
1.268042e-002	2.868876e+000
1.290289e-002	2.838992e+000
1.312535e-002	2.868876e+000
1.334782e-002	2.898760e+000
1.357028e-002	2.898760e+000
1.379274e-002	2.868876e+000
1.401521e-002	2.868876e+000
1.423767e-002	2.838992e+000
1.446013e-002	2.868876e+000
1.468260e-002	2.868876e+000
1.490506e-002	2.928644e+000
1.512753e-002	2.928644e+000
1.534999e-002	2.928644e+000
1.557245e-002	2.868876e+000
1.579492e-002	2.868876e+000
1.601738e-002	2.868876e+000
1.623985e-002	2.868876e+000
1.646231e-002	2.868876e+000
1.668477e-002	2.868876e+000
1.690724e-002	2.898760e+000
1.712970e-002	2.838992e+000
1.735216e-002	2.868876e+000
1.757463e-002	2.868876e+000
1.779709e-002	2.838992e+000
1.801956e-002	2.868876e+000
1.824202e-002	2.838992e+000
1.846448e-002	2.868876e+000
1.868695e-002	2.868876e+000
1.890941e-002	2.898760e+000
1.913187e-002	2.898760e+000
1.935434e-002	2.898760e+000
1.957680e-002	2.868876e+000
1.979927e-002	2.838992e+000
2.002173e-002	2.838992e+000
2.024419e-002	2.868876e+000
2.046666e-002	2.898760e+000
2.068912e-002	2.928644e+000
2.091159e-002	2.868876e+000
2.113405e-002	2.898760e+000
2.135651e-002	2.868876e+000
2.157898e-002	2.868876e+000
2.180144e-002	2.928644e+000
2.202390e-002	2.838992e+000
2.224637e-002	2.928644e+000
2.246883e-002	2.898760e+000
2.269130e-002	2.868876e+000
2.291376e-002	2.928644e+000
2.313622e-002	2.928644e+000
2.335869e-002	2.928644e+000
2.358115e-002	2.898760e+000
2.380362e-002	2.868876e+000
2.402608e-002	2.868876e+000
2.424854e-002	2.868876e+000
2.447101e-002	2.838992e+000
2.469347e-002	2.898760e+000
2.491593e-002	2.928644e+000
2.513840e-002	2.928644e+000
2.536086e-002	2.868876e+000
2.558333e-002	2.838992e+000
2.580579e-002	2.868876e+000
2.602825e-002	2.868876e+000
2.625072e-002	2.928644e+000
2.647318e-002	2.928644e+000
2.669564e-002	2.868876e+000
2.691811e-002	2.868876e+000
2.714057e-002	2.898760e+000
2.736304e-002	2.868876e+000
2.758550e-002	2.868876e+000
